task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,penalty_time,origin_location,destination_location,sc_total_distance,container_distance,sc_travel_time,container_travel_time
CO_TFTU000067,SC020,2024-08-21 07:12:00,2024-08-21 07:11:27,2024-08-21 07:12:00,2024-08-21 07:12:24,182193,32.798019801980196,57.34221422142214,0,0,QC005,WS001.01,318536,136343,57.34221422142214,24.544194419441943
CO_TFTU000121,SC012,2024-08-21 07:21:00,2024-08-21 07:20:48,2024-08-21 07:21:00,2024-08-21 07:21:37,62693,11.285868586858685,49.21296129612961,0,0,QC003,WS001.01,273378,210685,49.21296129612961,37.92709270927093
CO_TFTU000156,SC019,2024-08-21 07:28:00,2024-08-21 07:27:07,2024-08-21 07:28:00,2024-08-21 07:28:42,292637,52.67992799279928,95.30585058505851,0,0,QC006,WS001.01,529424,236787,95.30585058505851,42.62592259225923
CO_TFTU000175,SC015,2024-08-21 07:35:00,2024-08-21 07:34:50,2024-08-21 07:35:00,2024-08-21 07:35:37,52657,9.47920792079208,47.40630063006301,0,0,QC003,WS001.01,263342,210685,47.40630063006301,37.92709270927093
CO_TFTU000211,SC014,2024-08-21 07:45:00,2024-08-21 07:44:16,2024-08-21 07:45:00,2024-08-21 07:45:24,242193,43.599099909991,68.14329432943295,0,0,QC005,WS001.01,378536,136343,68.14329432943295,24.544194419441943
CO_TFTU000235,SC013,2024-08-21 07:53:00,2024-08-21 07:52:14,2024-08-21 07:53:00,2024-08-21 07:53:24,252193,45.3992799279928,69.94347434743474,0,0,QC005,WS001.01,388536,136343,69.94347434743474,24.544194419441943
CO_TFTU000239,SC017,2024-08-21 07:55:00,2024-08-21 07:54:21,2024-08-21 07:55:00,2024-08-21 07:55:24,212193,38.1985598559856,62.742754275427544,0,0,QC005,WS001.01,348536,136343,62.742754275427544,24.544194419441943
CO_TFTU000253,SC018,2024-08-21 08:01:00,2024-08-21 08:00:23,2024-08-21 08:01:00,2024-08-21 08:01:24,202193,36.398379837983796,60.94257425742574,0,0,QC005,WS001.01,338536,136343,60.94257425742574,24.544194419441943
CO_TFTU000264,SC017,2024-08-21 08:04:00,2024-08-21 08:03:21,2024-08-21 08:04:00,2024-08-21 08:04:24,212193,38.1985598559856,62.742754275427544,0,0,QC005,WS001.01,348536,136343,62.742754275427544,24.544194419441943
CO_TFTU000125,SC017,2024-08-21 07:21:00,2024-08-21 07:20:21,2024-08-21 07:21:00,2024-08-21 07:21:24,212193,38.1985598559856,62.742754275427544,0,0,QC005,WS001.01,348536,136343,62.742754275427544,24.544194419441943
CO_TFTU000034,SC008,2024-08-21 07:07:00,2024-08-21 07:06:41,2024-08-21 07:07:00,2024-08-21 07:07:46,102693,18.486588658865887,65.41458145814582,0,0,QC003,WS002.01,363378,260685,65.41458145814582,46.92799279927993
CO_TFTU000062,SC005,2024-08-21 07:12:00,2024-08-21 07:11:50,2024-08-21 07:12:00,2024-08-21 07:13:04,52657,9.47920792079208,74.40900090009,0,0,QC001,WS002.01,413342,360685,74.40900090009,64.92979297929793
CO_TFTU000069,SC019,2024-08-21 07:12:00,2024-08-21 07:11:07,2024-08-21 07:12:00,2024-08-21 07:12:51,292637,52.67992799279928,104.3067506750675,0,0,QC006,WS002.01,579424,286787,104.3067506750675,51.62682268226823
CO_TFTU000071,SC018,2024-08-21 07:13:00,2024-08-21 07:12:23,2024-08-21 07:13:00,2024-08-21 07:13:33,202193,36.398379837983796,69.94347434743474,0,0,QC005,WS002.01,388536,186343,69.94347434743474,33.54509450945095
CO_TFTU000080,SC008,2024-08-21 07:15:00,2024-08-21 07:14:45,2024-08-21 07:15:00,2024-08-21 07:16:04,82657,14.87974797479748,79.80954095409541,0,0,QC001,WS002.01,443342,360685,79.80954095409541,64.92979297929793
CO_TFTU000086,SC008,2024-08-21 07:16:00,2024-08-21 07:15:41,2024-08-21 07:16:00,2024-08-21 07:16:46,102693,18.486588658865887,65.41458145814582,0,0,QC003,WS002.01,363378,260685,65.41458145814582,46.92799279927993
CO_TFTU000107,SC015,2024-08-21 07:18:00,2024-08-21 07:17:00,2024-08-21 07:18:00,2024-08-21 07:18:51,332637,59.88064806480648,111.5074707470747,0,0,QC006,WS002.01,619424,286787,111.5074707470747,51.62682268226823
CO_TFTU000116,SC018,2024-08-21 07:20:00,2024-08-21 07:19:23,2024-08-21 07:20:00,2024-08-21 07:20:33,202193,36.398379837983796,69.94347434743474,0,0,QC005,WS002.01,388536,186343,69.94347434743474,33.54509450945095
CO_TFTU000189,SC016,2024-08-21 07:39:00,2024-08-21 07:38:48,2024-08-21 07:39:00,2024-08-21 07:39:46,62657,11.27938793879388,58.20738073807381,0,0,QC003,WS002.01,323342,260685,58.20738073807381,46.92799279927993
CO_TFTU000195,SC007,2024-08-21 07:41:00,2024-08-21 07:40:46,2024-08-21 07:41:00,2024-08-21 07:42:04,72657,13.07956795679568,78.00936093609361,0,0,QC001,WS002.01,433342,360685,78.00936093609361,64.92979297929793
CO_TFTU000196,SC007,2024-08-21 07:41:00,2024-08-21 07:40:39,2024-08-21 07:41:00,2024-08-21 07:41:46,112693,20.286768676867688,67.21476147614761,0,0,QC003,WS002.01,373378,260685,67.21476147614761,46.92799279927993
CO_TFTU000220,SC004,2024-08-21 07:47:00,2024-08-21 07:46:52,2024-08-21 07:47:00,2024-08-21 07:48:04,42693,7.6855085508550856,72.61530153015302,0,0,QC001,WS002.01,403378,360685,72.61530153015302,64.92979297929793
CO_TFTU000221,SC006,2024-08-21 07:47:00,2024-08-21 07:46:37,2024-08-21 07:47:00,2024-08-21 07:47:46,122693,22.086948694869488,69.01494149414941,0,0,QC003,WS002.01,383378,260685,69.01494149414941,46.92799279927993
