task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,origin_location,destination_location,sc_total_distance,container_distance
CO_TFTU000033,SC001,2024-08-21 07:06:00,2024-08-21 07:04:44,2024-08-21 07:06:00,2024-08-21 07:07:39,417317,75.12457245724572,174.7045904590459,0,RAIL001.81,WS003.01,970484,553167
CO_TFTU000039,SC001,2024-08-21 07:07:00,2024-08-21 07:06:28,2024-08-21 07:07:00,2024-08-21 07:08:27,177317,31.92025202520252,119.55895589558956,0,RAIL001.01,WS003.01,664150,486833
CO_TFTU000085,SC001,2024-08-21 07:15:00,2024-08-21 07:13:53,2024-08-21 07:15:00,2024-08-21 07:16:30,369317,66.48370837083708,157.42286228622862,0,RAIL001.65,WS003.01,874484,505167
CO_TFTU000094,SC001,2024-08-21 07:16:00,2024-08-21 07:15:28,2024-08-21 07:16:00,2024-08-21 07:17:27,177317,31.92025202520252,119.55895589558956,0,RAIL001.01,WS003.01,664150,486833
CO_TFTU000131,SC001,2024-08-21 07:23:00,2024-08-21 07:22:17,2024-08-21 07:23:00,2024-08-21 07:24:17,234317,42.18127812781278,119.55895589558956,0,RAIL001.20,WS003.01,664150,429833
CO_TFTU000179,SC001,2024-08-21 07:36:00,2024-08-21 07:35:05,2024-08-21 07:36:00,2024-08-21 07:37:19,303317,54.6025202520252,133.66048604860487,0,RAIL001.43,WS003.01,742484,439167
CO_TFTU000207,SC001,2024-08-21 07:44:00,2024-08-21 07:43:28,2024-08-21 07:44:00,2024-08-21 07:45:27,177317,31.92025202520252,119.55895589558956,0,RAIL001.01,WS003.01,664150,486833
CO_TFTU000286,SC001,2024-08-21 08:08:00,2024-08-21 08:06:38,2024-08-21 08:08:00,2024-08-21 08:09:46,453317,81.6052205220522,187.66588658865888,0,RAIL001.93,WS003.01,1042484,589167
CO_TFTU000115,SC001,2024-08-21 07:19:00,2024-08-21 07:18:20,2024-08-21 07:19:00,2024-08-21 07:20:29,219317,39.48100810081008,128.55985598559855,0,RAIL001.15,WS004.01,714150,494833
CO_TFTU000029,SC001,2024-08-21 07:05:00,2024-08-21 07:03:47,2024-08-21 07:05:00,2024-08-21 07:06:18,402317,72.42430243024303,151.3022502250225,0,RAIL001.76,WS007.01,840484,438167
CO_TFTU000157,SC001,2024-08-21 07:28:00,2024-08-21 07:26:34,2024-08-21 07:28:00,2024-08-21 07:29:14,477317,85.92565256525653,160.3031503150315,0,RAIL001.101,WS009.01,890484,413167
CO_TFTU000229,SC001,2024-08-21 07:49:00,2024-08-21 07:48:01,2024-08-21 07:49:00,2024-08-21 07:50:46,324317,58.38289828982898,164.56345634563456,0,RAIL001.50,WS010.01,914150,589833
CO_TFTU000109,SC001,2024-08-21 07:18:00,2024-08-21 07:17:27,2024-08-21 07:18:00,2024-08-21 07:20:21,180317,32.46030603060306,173.56435643564356,0,RAIL001.02,WS011.01,964150,783833
CO_TFTU000209,SC001,2024-08-21 07:44:00,2024-08-21 07:42:38,2024-08-21 07:44:00,2024-08-21 07:45:41,450317,81.06516651665167,182.56525652565256,0,RAIL001.92,WS012.01,1014150,563833
CO_TFTU000227,SC001,2024-08-21 07:48:00,2024-08-21 07:46:55,2024-08-21 07:48:00,2024-08-21 07:50:06,360317,64.86354635463546,191.56615661566155,0,RAIL001.62,WS013.01,1064150,703833
CO_TFTU000110,SC001,2024-08-21 07:18:00,2024-08-21 07:16:31,2024-08-21 07:18:00,2024-08-21 07:19:51,492317,88.62592259225923,200.56705670567058,0,RAIL001.109,WS014.01,1114150,621833
CO_TFTU000208,SC001,2024-08-21 07:44:00,2024-08-21 07:43:07,2024-08-21 07:44:00,2024-08-21 07:46:27,294317,52.98235823582358,200.56705670567058,0,RAIL001.40,WS014.01,1114150,819833
CO_TFTU000079,SC001,2024-08-21 07:14:00,2024-08-21 07:13:17,2024-08-21 07:14:00,2024-08-21 07:16:46,237317,42.72133213321332,209.56795679567958,0,RAIL001.21,WS015.01,1164150,926833
CO_TFTU000145,SC001,2024-08-21 07:25:00,2024-08-21 07:23:47,2024-08-21 07:25:00,2024-08-21 07:27:17,402317,72.42430243024303,209.56795679567958,0,RAIL001.76,WS015.01,1164150,761833
CO_TFTU000062,SC004,2024-08-21 07:12:00,2024-08-21 07:11:52,2024-08-21 07:12:00,2024-08-21 07:13:04,42693,7.6855085508550856,72.61530153015302,0,QC001,WS002.01,403378,360685
CO_TFTU000080,SC004,2024-08-21 07:15:00,2024-08-21 07:14:52,2024-08-21 07:15:00,2024-08-21 07:16:04,42693,7.6855085508550856,72.61530153015302,0,QC001,WS002.01,403378,360685
