task_id,sc_id,time_first_known,sc_start_time,container_start_time,finish_time,distance_to_container,time_to_container,travel_time,idle_time,penalty_time,origin_location,destination_location,sc_total_distance,container_distance,sc_travel_time,container_travel_time
CO_TFTU000001,SC004,2024-08-21 07:00:00,2024-08-21 06:59:52,2024-08-21 07:00:00,2024-08-21 07:01:31,42693,7.6855085508550856,99.61800180018002,1192.314491,0,QC001,WS007.01,553378,510685,99.61800180018002,91.93249324932493
CO_TFTU000002,SC020,2024-08-21 07:00:00,2024-08-21 06:59:27,2024-08-21 07:00:00,2024-08-21 07:01:45,182193,32.798019801980196,138.35031503150316,1167.20198,0,QC005,WS012.01,768536,586343,138.35031503150316,105.55229522952295
CO_TFTU000003,SC019,2024-08-21 07:00:00,2024-08-21 06:59:07,2024-08-21 07:00:00,2024-08-21 07:02:30,292637,52.67992799279928,203.31665166516652,1147.320072,0,QC006,WS015.01,1129424,836787,203.31665166516652,150.63672367236722
CO_TFTU000004,SC018,2024-08-21 07:00:00,2024-08-21 06:59:05,2024-08-21 07:00:00,2024-08-21 07:01:07,302637,54.48010801080108,121.56147614761475,1145.519891,0,QC006,YARD001.19,675274,372637,121.56147614761475,67.08136813681368
CO_TFTU000008,SC014,2024-08-21 07:01:00,2024-08-21 07:00:52,2024-08-21 07:01:00,2024-08-21 07:02:13,42693,7.6855085508550856,81.61620162016202,1252.314491,0,QC003,WS007.01,453378,410685,81.61620162016202,73.93069306930693
CO_TFTU000007,SC015,2024-08-21 07:01:00,2024-08-21 07:00:50,2024-08-21 07:01:00,2024-08-21 07:02:13,52657,9.47920792079208,83.409900990099,1250.520792,0,QC003,WS007.01,463342,410685,83.409900990099,73.93069306930693
CO_TFTU000005,SC013,2024-08-21 07:01:00,2024-08-21 07:00:50,2024-08-21 07:01:00,2024-08-21 07:02:14,52693,9.485688568856885,83.77137713771377,1250.514311,0,QC003,YARD001.59,465350,412657,83.77137713771377,74.28568856885688
CO_TFTU000006,SC016,2024-08-21 07:01:00,2024-08-21 07:00:48,2024-08-21 07:01:00,2024-08-21 07:01:32,62657,11.27938793879388,44.16093609360936,1248.720612,0,QC003,YARD001.36,245314,182657,44.16093609360936,32.88154815481548
CO_TFTU000009,SC017,2024-08-21 07:01:00,2024-08-21 06:59:45,2024-08-21 07:01:00,2024-08-21 07:03:57,412227,74.2082808280828,251.77389738973898,1185.791719,0,QC007,WS016.01,1398604,986377,251.77389738973898,177.56561656165616
CO_TFTU000014,SC016,2024-08-21 07:02:00,2024-08-21 07:01:32,2024-08-21 07:02:27,2024-08-21 07:05:15,302227,54.40630063006301,222.97101710171017,0.0,0,QC007,WS015.01,1238604,936377,222.97101710171017,168.56471647164716
CO_TFTU000013,SC012,2024-08-21 07:02:00,2024-08-21 07:00:54,2024-08-21 07:02:00,2024-08-21 07:04:03,362637,65.28118811881188,188.91521152115212,1254.718811,0,QC006,WS012.01,1049424,686787,188.91521152115212,123.63402340234023
CO_TFTU000011,SC011,2024-08-21 07:02:00,2024-08-21 07:01:11,2024-08-21 07:02:00,2024-08-21 07:03:54,272193,48.9996399639964,163.55283528352837,1271.00036,0,QC005,WS013.01,908536,636343,163.55283528352837,114.55319531953195
CO_TFTU000010,SC018,2024-08-21 07:02:00,2024-08-21 07:01:11,2024-08-21 07:02:00,2024-08-21 07:04:12,272193,48.9996399639964,181.55463546354636,3.918991,0,QC005,WS015.01,1008536,736343,181.55463546354636,132.55499549954996
CO_TFTU000012,SC010,2024-08-21 07:02:00,2024-08-21 07:00:51,2024-08-21 07:02:00,2024-08-21 07:02:51,382637,68.88154815481548,120.5083708370837,1251.118451,0,QC006,WS002.01,669424,286787,120.5083708370837,51.62682268226823
CO_TFTU000016,SC010,2024-08-21 07:03:00,2024-08-21 07:02:51,2024-08-21 07:03:25,2024-08-21 07:04:52,186343,33.54509450945095,121.0955895589559,0.0,0,QC005,WS010.01,672686,486343,121.0955895589559,87.55049504950495
CO_TFTU000015,SC013,2024-08-21 07:03:00,2024-08-21 07:02:21,2024-08-21 07:03:00,2024-08-21 07:05:21,213157,38.37209720972097,179.92799279927993,7.342214,0,QC005,WS016.01,999500,786343,179.92799279927993,141.55589558955896
