task_id,MIP_start,MIP_finish,Genetic_start,Genetic_finish
CO_TFTU000201,2024-08-21 07:42:00,2024-08-21 07:43:45,2024-08-21 07:42:00,2024-08-21 07:43:45
CO_TFTU000013,2024-08-21 07:02:00,2024-08-21 07:04:03,2024-08-21 07:02:00,2024-08-21 07:04:03
CO_TFTU000274,2024-08-21 08:05:00,2024-08-21 08:07:12,2024-08-21 08:05:00,2024-08-21 08:07:12
CO_TFTU000093,2024-08-21 07:16:00,2024-08-21 07:18:30,2024-08-21 07:16:00,2024-08-21 07:18:30
CO_TFTU000108,2024-08-21 07:18:00,2024-08-21 07:20:39,2024-08-21 07:18:00,2024-08-21 07:20:39
CO_TFTU000163,2024-08-21 07:30:00,2024-08-21 07:32:21,2024-08-21 07:30:00,2024-08-21 07:32:21
CO_TFTU000259,2024-08-21 08:02:00,2024-08-21 08:03:34,2024-08-21 08:02:00,2024-08-21 08:03:34
CO_TFTU000075,2024-08-21 07:13:00,2024-08-21 07:14:07,2024-08-21 07:13:00,2024-08-21 07:14:07
CO_TFTU000246,2024-08-21 07:58:00,2024-08-21 07:58:16,2024-08-21 07:58:00,2024-08-21 07:58:16
CO_TFTU000277,2024-08-21 08:07:00,2024-08-21 08:07:16,2024-08-21 08:07:00,2024-08-21 08:07:16
