task_id,Random_start,Random_finish,Proximity + Prioritization_start,Proximity + Prioritization_finish
CO_TFTU000121,2024-08-21 07:21:00,2024-08-21 07:21:37,2024-08-21 07:21:00,2024-08-21 07:21:37
CO_TFTU000034,2024-08-21 07:07:00,2024-08-21 07:07:46,2024-08-21 07:07:00,2024-08-21 07:07:46
CO_TFTU000069,2024-08-21 07:13:56,2024-08-21 07:14:48,2024-08-21 07:12:00,2024-08-21 07:12:51
CO_TFTU000195,2024-08-21 07:41:00,2024-08-21 07:42:04,2024-08-21 07:41:00,2024-08-21 07:42:04
CO_TFTU000007,2024-08-21 08:13:37,2024-08-21 08:14:51,2024-08-21 07:01:00,2024-08-21 07:02:13
CO_TFTU000177,2024-08-21 07:56:03,2024-08-21 07:58:24,2024-08-21 07:35:00,2024-08-21 07:37:21
CO_TFTU000054,2024-08-21 08:06:17,2024-08-21 08:08:48,2024-08-21 07:10:32,2024-08-21 07:13:02
CO_TFTU000084,2024-08-21 08:22:47,2024-08-21 08:25:27,2024-08-21 07:15:00,2024-08-21 07:17:39
CO_TFTU000066,2024-08-21 08:25:11,2024-08-21 08:25:21,2024-08-21 07:12:00,2024-08-21 07:12:09
CO_TFTU000090,2024-08-21 08:20:49,2024-08-21 08:20:57,2024-08-21 07:16:00,2024-08-21 07:16:07
