task_id,Random_start,Random_finish,Proximity + Prioritization_start,Proximity + Prioritization_finish
CO_TFTU000125,2024-08-21 07:21:00,2024-08-21 07:21:24,2024-08-21 07:21:12,2024-08-21 07:21:36
CO_TFTU000233,2024-08-21 07:52:00,2024-08-21 07:53:09,2024-08-21 07:52:22,2024-08-21 07:53:32
CO_TFTU000007,2024-08-21 08:05:21,2024-08-21 08:06:35,2024-08-21 07:01:00,2024-08-21 07:02:13
CO_TFTU000035,2024-08-21 07:58:32,2024-08-21 08:00:00,2024-08-21 07:07:00,2024-08-21 07:08:27
CO_TFTU000208,2024-08-21 08:22:24,2024-08-21 08:24:51,2024-08-21 07:44:00,2024-08-21 07:46:27
CO_TFTU000060,2024-08-21 08:04:10,2024-08-21 08:07:08,2024-08-21 07:11:42,2024-08-21 07:14:40
CO_TFTU000141,2024-08-21 08:43:53,2024-08-21 08:44:33,2024-08-21 07:25:00,2024-08-21 07:25:39
CO_TFTU000262,2024-08-21 08:36:13,2024-08-21 08:36:24,2024-08-21 08:03:09,2024-08-21 08:03:20
CO_TFTU000283,2024-08-21 08:42:30,2024-08-21 08:42:43,2024-08-21 08:09:23,2024-08-21 08:09:36
CO_TFTU000097,2024-08-21 08:24:44,2024-08-21 08:26:04,2024-08-21 07:19:08,2024-08-21 07:20:28
