task_id,Proximity + Prioritization_start,Proximity + Prioritization_finish,MIP_start,MIP_finish
CO_TFTU000014,2024-08-21 07:02:27,2024-08-21 07:05:15,2024-08-21 07:02:00,2024-08-21 07:04:48
CO_TFTU000019,2024-08-21 07:04:00,2024-08-21 07:05:07,2024-08-21 07:04:00,2024-08-21 07:05:07
CO_TFTU000093,2024-08-21 07:16:29,2024-08-21 07:18:59,2024-08-21 07:16:00,2024-08-21 07:18:30
CO_TFTU000107,2024-08-21 07:18:39,2024-08-21 07:19:31,2024-08-21 07:18:00,2024-08-21 07:18:51
CO_TFTU000111,2024-08-21 07:19:01,2024-08-21 07:19:10,2024-08-21 07:19:00,2024-08-21 07:19:09
CO_TFTU000138,2024-08-21 07:25:06,2024-08-21 07:25:43,2024-08-21 07:25:00,2024-08-21 07:25:36
CO_TFTU000180,2024-08-21 07:37:00,2024-08-21 07:38:41,2024-08-21 07:37:00,2024-08-21 07:38:41
CO_TFTU000228,2024-08-21 07:49:19,2024-08-21 07:51:22,2024-08-21 07:49:00,2024-08-21 07:51:03
CO_TFTU000237,2024-08-21 07:53:00,2024-08-21 07:55:39,2024-08-21 07:53:00,2024-08-21 07:55:39
CO_TFTU000247,2024-08-21 07:58:25,2024-08-21 07:59:10,2024-08-21 07:58:00,2024-08-21 07:58:45
