task_id,MIP_start,MIP_finish,Genetic_start,Genetic_finish
CO_TFTU000062,2024-08-21 07:12:00,2024-08-21 07:13:04,2024-08-21 07:12:00,2024-08-21 07:13:04
CO_TFTU000214,2024-08-21 07:46:00,2024-08-21 07:46:42,2024-08-21 07:46:00,2024-08-21 07:46:42
CO_TFTU000193,2024-08-21 07:40:00,2024-08-21 07:41:09,2024-08-21 07:40:00,2024-08-21 07:41:09
CO_TFTU000281,2024-08-21 08:07:00,2024-08-21 08:08:27,2024-08-21 08:07:00,2024-08-21 08:08:27
CO_TFTU000106,2024-08-21 07:18:00,2024-08-21 07:19:27,2024-08-21 07:18:00,2024-08-21 07:19:27
CO_TFTU000177,2024-08-21 07:35:00,2024-08-21 07:37:21,2024-08-21 07:35:00,2024-08-21 07:37:21
CO_TFTU000042,2024-08-21 07:08:00,2024-08-21 07:10:21,2024-08-21 07:08:00,2024-08-21 07:10:21
CO_TFTU000084,2024-08-21 07:15:00,2024-08-21 07:17:39,2024-08-21 07:15:00,2024-08-21 07:17:39
CO_TFTU000206,2024-08-21 07:44:00,2024-08-21 07:46:57,2024-08-21 07:44:00,2024-08-21 07:46:57
CO_TFTU000113,2024-08-21 07:19:00,2024-08-21 07:19:11,2024-08-21 07:19:00,2024-08-21 07:19:11
